epoch,train_loss,val_loss,val_acc,best_acc,lr
1,4.141872194120619,3.8918613758087157,12.620000000000001,12.620000000000001,0.00029988435543610843
2,3.7850536839379205,3.626171271896362,17.64,17.64,0.00029953760005996916
3,3.6103082372877333,3.4876508346557618,21.42,21.42,0.00029896026854323894
4,3.4830369612375893,3.323251731491089,23.880000000000003,23.880000000000003,0.00029815325108927063
5,3.386759809875488,3.320688246536255,24.3,24.3,0.00029711779206048454
6,3.305835417429606,3.2353262435913086,27.26,27.26,0.00029585548805965143
7,3.2246401403639053,3.112910500717163,29.24,29.24,0.000294368285468047
8,3.159162968826294,3.067874280166626,30.54,30.54,0.00029265847744427303
9,3.098124680582682,3.0555637924194334,30.759999999999998,30.759999999999998,0.0002907287003883726
10,3.041734624311659,2.977394878387451,32.98,32.98,0.00028858192987669295
11,2.979356622229682,2.9043728050231934,35.260000000000005,35.260000000000005,0.00028622147607376214
12,2.9211518212212457,2.87288231048584,35.82,35.82,0.00028365097862825513
13,2.877220154783461,2.8468383266448973,37.08,37.08,0.0002808744010609195
14,2.820742544555664,2.862927657699585,36.120000000000005,37.08,0.0002778960246531138
15,2.775293354754978,2.870543420410156,36.58,37.08,0.0002747204418453818
16,2.7248785198635526,2.7663145000457763,39.160000000000004,39.160000000000004,0.0002713525491562421
17,2.681166971376207,2.762236853790283,39.379999999999995,39.379999999999995,0.00026779753963211174
18,2.631225956641303,2.718144462966919,40.68,40.68,0.00026406089484000466
19,2.578734766133626,2.653301326751709,42.120000000000005,42.120000000000005,0.00026014837641535286
20,2.5412817340426974,2.6380449199676512,42.82,42.82,0.0002560660171779821
21,2.480713872358534,2.6073680919647217,43.56,43.56,0.0002518201118299413
22,2.441326641506619,2.583145544433594,44.78,44.78,0.0002474172072495276
23,2.392625480312771,2.5802900238037108,44.92,44.92,0.0002428640923964751
24,2.3464584851582844,2.553878036880493,46.12,46.12,0.000238167787843871
25,2.301806768459744,2.5565970115661623,46.02,46.12,0.00023333553495294036
26,2.2541841001298693,2.545583644104004,45.98,46.12,0.00022837478470739235
27,2.216162764951918,2.553493424987793,46.26,46.26,0.0002232931862245433
28,2.1684815368652344,2.49100964050293,47.78,47.78,0.00021809857496093207
29,2.120225119611952,2.505540553283691,48.480000000000004,48.480000000000004,0.00021279896063061427
30,2.0846117293039956,2.5055569023132325,47.36,48.480000000000004,0.00020740251485476354
31,2.0461594178941516,2.501991665267944,48.74,48.74,0.000201917558561624
32,2.008588054063585,2.474935955429077,49.14,49.14,0.0001963525491562422
33,1.968284403016832,2.4847722660064697,48.8,49.14,0.0001907160674797612
34,1.9242410495969984,2.4648847774505613,49.44,49.44,0.0001850168045783859
35,1.8932639709048802,2.490162677383423,49.62,49.62,0.00017926354830241934
36,1.8573706527286105,2.4644781990051268,50.63999999999999,50.63999999999999,0.00017346516975603473
37,1.8206621349758572,2.482426319885254,50.0,50.63999999999999,0.00016763060961867574
38,1.7875325165430704,2.4609509124755857,50.660000000000004,50.660000000000004,0.00016176886435917683
39,1.7606794844733344,2.4898258407592775,50.12,50.660000000000004,0.00015588897236386038
40,1.7304607594384087,2.4748181663513185,51.019999999999996,51.019999999999996,0.00015000000000000007
41,1.6987573242611356,2.489948755645752,49.980000000000004,51.019999999999996,0.0001441110276361398
42,1.665638101196289,2.474610481262207,50.82,51.019999999999996,0.00013823113564082333
43,1.6394788245519003,2.4819382759094237,51.44,51.44,0.00013236939038132443
44,1.6119833855311076,2.5132793445587156,50.18,51.44,0.00012653483024396546
45,1.5861346615261502,2.5170391395568847,51.06,51.44,0.00012073645169758083
46,1.5615132661607531,2.5089617931365966,51.1,51.44,0.00011498319542161425
47,1.5402993338267008,2.493748754119873,51.480000000000004,51.480000000000004,0.00010928393252023889
48,1.515521444659763,2.541177651977539,50.519999999999996,51.480000000000004,0.00010364745084375795
49,1.4922055593066745,2.525830303955078,51.519999999999996,51.519999999999996,9.808244143837613e-05
50,1.4708826244354247,2.523585809326172,51.12,51.519999999999996,9.259748514523659e-05
51,1.454427961391873,2.531263421630859,51.42,51.519999999999996,8.720103936938588e-05
52,1.4378102933247885,2.5274960052490236,51.739999999999995,51.739999999999995,8.190142503906804e-05
53,1.4148919871224297,2.5160361267089844,51.78,51.78,7.670681377545679e-05
